,dataset,topic,topics,articles,tokens,coref_chain,mentions,event_mentions,entity_mentions,singletons,average_size_all,phrasing_diversity_weighted_all,unique_lemmas_all,F1_CONLL_all,average_size_wo_singl,phrasing_diversity_weighted_wo_singl,unique_lemmas_wo_singl,F1_CONLL_wo_singl
GVC\0\subtopic,GVC,0/577792,1,1,0,7,12,12,0,10,1.714,0.625,1.143,82.78,2.25,0.5,1.25,88.44
GVC\0\subtopic,GVC,0/578238,1,2,0,8,19,19,0,17,2.375,1.193,1.5,59.707,3.2,1.229,1.8,64.087
GVC\0\subtopic,GVC,0/583168,1,2,0,5,27,27,0,27,59.2,11.379,11.2,36.413,59.2,11.379,11.2,36.413
GVC\0\subtopic,GVC,0/583177,1,2,0,5,17,17,0,17,57.2,11.789,11.0,35.527,57.2,11.789,11.0,35.527
GVC\0\subtopic,GVC,0/583179,1,2,0,5,22,22,0,22,4.4,1.346,2.0,74.42,4.4,1.346,2.0,74.42
GVC\0\subtopic,GVC,0/583854,1,2,0,4,27,27,0,21,6.75,2.691,3.75,48.233,6.75,2.691,3.75,48.233
GVC\0\subtopic,GVC,0/583879,1,2,0,6,57,57,0,56,9.5,0.711,2.5,65.903,13.75,0.7,3.25,64.65
GVC\0\subtopic,GVC,0/584156,1,2,0,5,22,22,0,20,57.8,11.748,11.6,34.797,57.8,11.748,11.6,34.797
GVC\0\subtopic,GVC,0/586609,1,2,0,5,44,44,0,42,8.8,1.999,4.0,51.457,8.8,1.999,4.0,51.457
GVC\0\subtopic,GVC,0/586764,1,2,0,6,32,32,0,31,50.0,11.217,10.0,37.007,50.0,11.217,10.0,37.007
GVC\0\subtopic,GVC,0/589488,1,3,0,12,59,59,0,59,4.917,1.052,2.0,61.963,6.875,1.055,2.5,63.353
GVC\0\subtopic,GVC,0/590958,1,3,0,7,64,64,0,52,47.571,10.263,9.857,37.873,47.571,10.263,9.857,37.873
GVC\0\subtopic,GVC,0/591218,1,3,0,4,47,47,0,40,11.75,1.571,4.25,53.003,11.75,1.571,4.25,53.003
GVC\0\subtopic,GVC,0/591237,1,3,0,18,51,51,0,44,2.833,1.556,1.722,50.083,5.714,1.708,2.857,48.493
GVC\0\subtopic,GVC,0/593238,1,2,0,5,19,19,0,19,3.8,1.057,1.8,75.267,4.5,1.06,2.0,74.717
GVC\0\subtopic,GVC,0/594187,1,2,0,8,50,50,0,48,39.375,10.878,8.375,36.743,39.375,10.878,8.375,36.743
GVC\0\subtopic,GVC,0/596989,1,1,0,1,1,1,0,1,1.0,1.0,1.0,66.667,,,,
GVC\0\subtopic,GVC,0/601037,1,4,0,5,52,52,0,50,10.4,0.291,2.8,62.76,10.4,0.291,2.8,62.76
GVC\0\subtopic,GVC,0/603253,1,3,0,6,26,26,0,26,49.0,11.501,9.833,37.48,58.6,11.537,11.6,36.26
GVC\0\subtopic,GVC,0/603823,1,2,0,6,38,38,0,34,51.0,11.063,10.167,37.793,51.0,11.063,10.167,37.793
GVC\0\subtopic,GVC,0/604190,1,2,0,8,34,34,0,31,37.75,11.294,8.625,36.167,37.75,11.294,8.625,36.167
GVC\0\subtopic,GVC,0/610379,1,3,0,12,75,75,0,71,6.25,1.369,2.75,49.47,13.6,1.407,5.2,43.623
GVC\0\subtopic,GVC,0/613826,1,3,0,7,56,56,0,42,46.429,10.429,8.571,40.29,46.429,10.429,8.571,40.29
GVC\0\subtopic,GVC,0/613903,1,3,0,10,44,44,0,37,31.2,10.917,6.7,38.9,34.556,10.949,7.333,38.887
GVC\0\subtopic,GVC,0/617461,1,1,0,5,16,16,0,16,3.2,1.052,1.8,67.04,3.75,1.056,2.0,63.747
GVC\0\subtopic,GVC,0/618188,1,1,0,3,5,5,0,4,1.667,1.1,1.333,77.243,2.0,1.125,1.5,73.01
GVC\0\subtopic,GVC,0/619156,1,3,0,5,30,30,0,27,59.8,11.409,11.8,35.843,59.8,11.409,11.8,35.843
GVC\0\subtopic,GVC,0/621109,1,3,0,7,44,44,0,41,44.429,10.967,9.429,37.857,51.667,10.999,10.833,36.737
GVC\0\subtopic,GVC,0/623581,1,2,0,8,32,32,0,29,4.0,2.628,2.5,60.937,5.0,2.736,3.0,57.123
GVC\0\subtopic,GVC,0/624215,1,2,0,6,16,16,0,16,47.5,11.892,9.667,34.623,56.8,11.93,11.4,34.183
GVC\0\subtopic,GVC,0/624533,1,2,0,5,20,20,0,18,4.0,2.333,2.6,54.74,4.75,2.403,3.0,51.313
GVC\0\subtopic,GVC,0/628206,1,2,0,5,21,21,0,19,57.6,11.746,11.2,36.01,57.6,11.746,11.2,36.01
GVC\0\subtopic,GVC,0/630886,1,3,0,6,29,29,0,28,49.667,11.31,9.667,37.057,49.667,11.31,9.667,37.057
GVC\0\subtopic,GVC,0/631695,1,1,0,5,9,9,0,9,1.8,1.148,1.4,70.94,2.333,1.19,1.667,69.44
GVC\0\subtopic,GVC,0/635099,1,1,0,6,9,9,0,4,1.5,0.833,1.167,76.03,2.5,0.7,1.5,78.87
GVC\0\subtopic,GVC,0/638622,1,2,0,6,22,22,0,22,48.333,11.613,9.333,36.627,48.333,11.613,9.333,36.627
GVC\0\subtopic,GVC,0/640899,1,2,0,9,29,29,0,26,32.889,11.52,7.0,37.103,48.833,11.627,10.0,36.723
GVC\0\subtopic,GVC,0/641499,1,2,0,5,20,20,0,20,4.0,1.09,2.2,62.46,4.75,1.095,2.5,59.173
GVC\0\subtopic,GVC,0/643219,1,2,0,4,11,11,0,11,2.75,1.182,2.0,59.49,2.75,1.182,2.0,59.49
GVC\0\subtopic,GVC,0/643909,1,2,0,6,31,31,0,31,49.833,11.345,10.167,37.037,59.6,11.38,12.0,36.533
GVC\0\subtopic,GVC,0/646995,1,2,0,6,28,28,0,26,4.667,0.235,1.333,82.65,4.667,0.235,1.333,82.65
GVC\0\subtopic,GVC,0/648457,1,2,0,4,17,17,0,15,4.25,2.765,2.5,46.39,4.25,2.765,2.5,46.39
GVC\0\subtopic,GVC,0/648867,1,3,0,8,30,30,0,26,3.75,0.733,1.75,63.78,3.75,0.733,1.75,63.78
GVC\0\subtopic,GVC,0/651827,1,1,0,6,10,10,0,10,46.333,12.085,8.833,35.617,91.667,12.206,16.667,34.677
GVC\0\subtopic,GVC,0/652919,1,2,0,8,22,22,0,19,36.375,11.583,7.125,39.103,48.167,11.656,9.167,37.347
GVC\0\subtopic,GVC,0/653539,1,2,0,5,61,61,0,55,12.2,1.859,4.4,47.673,12.2,1.859,4.4,47.673
GVC\0\subtopic,GVC,0/653953,1,2,0,4,14,14,0,13,3.5,1.921,2.25,63.287,6.0,2.075,3.5,54.04
GVC\0\subtopic,GVC,0/655275,1,2,0,6,34,34,0,34,50.333,11.175,10.0,37.343,50.333,11.175,10.0,37.343
GVC\0\subtopic,GVC,0/655478,1,2,0,4,14,14,0,12,3.5,0.512,1.75,67.35,3.5,0.512,1.75,67.35
GVC\0\subtopic,GVC,0/657396,1,2,0,8,28,28,0,25,37.125,11.459,7.875,37.497,42.286,11.494,8.857,37.443
GVC\0\subtopic,GVC,0/657926,1,3,0,5,29,29,0,28,5.8,1.184,3.2,48.48,5.8,1.184,3.2,48.48
GVC\0\subtopic,GVC,0/658161,1,1,0,1,4,4,0,4,4.0,1.875,2.0,63.7,4.0,1.875,2.0,63.7
GVC\0\subtopic,GVC,0/659289,1,2,0,13,27,27,0,24,22.769,11.461,5.154,38.723,48.167,11.714,10.0,35.227
GVC\0\subtopic,GVC,0/660235,1,1,0,5,10,10,0,9,55.8,12.072,10.6,36.013,92.333,12.152,17.0,34.573
